goalid,team,against,date,time_of_goal,location,home_away,scorer,Penalty (Y/N),price_of_scorer,assist,price_of_assister
345,Crystal Palace,Swansea City,26/11/2016,75-90,,Away,C. Benteke,,,,
346,Swansea City,Crystal Palace,26/11/2016,75-90,,Home,F. Llorente,,,,
347,Swansea City,Crystal Palace,26/11/2016,75-90,,Home,F. Llorente,,,,
348,Spurs,Chelsea,26/11/2016,0-15,,Away,C. Eriksen,,,,
349,Chelsea,Spurs,26/11/2016,30-45,,Home,Pedro,,,,
350,Chelsea,Spurs,26/11/2016,45-60,,Home,V. Moses,,,,
351,Stoke City,Watford,27/11/2016,15-30,,Away,OG (H. Gomes),,,,
352,Arsenal,Bournemouth,27/11/2016,0-15,,Home,A. Sanchez,,,,
353,Bournemouth,Arsenal,27/11/2016,15-30,,Away,C. Wilson,Y,,,
354,Arsenal,Bournemouth,27/11/2016,45-60,,Home,T. Walcott,,,,
355,Arsenal,Bournemouth,27/11/2016,75-90,,Home,A. Sanchez,,,,
356,West Ham,Man United,27/11/2016,0-15,,Away,Sakho,,,,
357,Man United,West Ham,27/11/2016,15-30,,Home,Z. Ibrahimovic,,,,
358,Southampton,Everton,27/11/2016,0-15,,Home,C. Austin,,,,
359,Man City,Chelsea,03/12/2016,30-45,,Home,OG (G. Cahill),,,,
360,Chelsea,Man City,03/12/2016,45-60,,Away,D. Costa,,,,
361,Chelsea,Man City,03/12/2016,60-75,,Away,Willian,,,,
362,Chelsea,Man City,03/12/2016,75-90,,Away,E. Hazard,,,,
363,Crystal Palace,Southampton,03/12/2016,30-45,,Home,C. Benteke,,,,
364,Crystal Palace,Southampton,03/12/2016,30-45,,Home,J. Tomkins,,,,
365,Crystal Palace,Southampton,03/12/2016,75-90,,Home,C. Benteke,,,,
366,Stoke City,Burnley,03/12/2016,15-30,,Home,J. Walters,,,,
367,Stoke City,Burnley,03/12/2016,30-45,,Home,Muniesa,,,,
368,Sunderland,Leicester City,03/12/2016,60-75,,Home,OG (R. Huth),,,,
369,Sunderland,Leicester City,03/12/2016,75-90,,Home,J. Defoe,,,,
370,Leicester City,Sunderland,03/12/2016,75-90,,Away,S. Okazaki,,,,
371,Spurs,Swansea City,03/12/2016,30-45,,Home,H. Kane,,,,
372,Spurs,Swansea City,03/12/2016,30-45,,Home,H. Son,,,,
373,Spurs,Swansea City,03/12/2016,45-60,,Home,H. Kane,Y,,,
374,Spurs,Swansea City,03/12/2016,60-75,,Home,C. Eriksen,,,,
375,Spurs,Swansea City,03/12/2016,75-90,,Home,C. Eriksen,,,,
376,WBA,Watford,03/12/2016,15-30,,Home,J. Evans,,,,
377,WBA,Watford,03/12/2016,30-45,,Home,C. Brunt,,,,
378,Watford,WBA,03/12/2016,45-60,,Away,Kabasele,,,,
379,WBA,Watford,03/12/2016,75-90,,Home,M. Phillips,,,,
380,Arsenal,West Ham,03/12/2016,15-30,,Away,M. Ozil,,,,
381,Arsenal,West Ham,03/12/2016,60-75,,Away,A. Sanchez,,,,
382,Arsenal,West Ham,03/12/2016,75-90,,Away,A. Sanchez,,,,
383,West Ham,Arsenal,03/12/2016,75-90,,Home,A. Carroll,,,,
384,Arsenal,West Ham,03/12/2016,75-90,,Away,A. Oxlade-Chamberlain,,,,
385,Arsenal,West Ham,03/12/2016,75-90,,Away,A. Sanchez,,,,
386,Liverpool,Bournemouth,04/12/2016,15-30,,Away,S. Mane,,,,
387,Liverpool,Bournemouth,04/12/2016,15-30,,Away,D. Origi,,,,
388,Bournemouth,Liverpool,04/12/2016,45-60,,Home,C. Wilson,Y,,,
389,Liverpool,Bournemouth,04/12/2016,60-75,,Away,E. Can,,,,
390,Bournemouth,Liverpool,04/12/2016,75-90,,Home,R. Fraser,,,,
391,Bournemouth,Liverpool,04/12/2016,75-90,,Home,S. Cook,,,,
392,Bournemouth,Liverpool,04/12/2016,75-90,,Home,Ake,,,,
393,Man United,Everton,04/12/2016,30-45,,Away,Z. Ibrahimovic,,,,
394,Everton,Man United,04/12/2016,75-90,,Home,L. Baines,,,,
395,Middlesbrough,Hull City,05/12/2016,45-60,,Home,G. Ramirez,,,,
396,Everton,Watford,10/12/2016,15-30,,Away,R. Lukaku,,,,
397,Watford,Everton,10/12/2016,30-45,,Home,S. Okaka,,,,
398,Watford,Everton,10/12/2016,45-60,,Home,S. Prodl,,,,
399,Watford,Everton,10/12/2016,60-75,,Home,S. Okaka,,,,
400,Everton,Watford,10/12/2016,75-90,,Away,R. Lukaku,,,,
401,Stoke City,Arsenal,10/12/2016,15-30,,Away,C. Adam,Y,,,
402,Arsenal,Stoke City,10/12/2016,30-45,,Home,T. Walcott,,,,
403,Arsenal,Stoke City,10/12/2016,45-60,,Home,M. Ozil,,,,
404,Arsenal,Stoke City,10/12/2016,60-75,,Home,A. Iwobi,,,,
405,Burnley,Bournemouth,10/12/2016,0-15,,Home,J. Hendrick,,,,
406,Burnley,Bournemouth,10/12/2016,15-30,,Home,S. Ward,,,,
407,Bournemouth,Burnley,10/12/2016,30-45,,Away,B. Afobe,,,,
408,Burnley,Bournemouth,10/12/2016,60-75,,Home,K. Boyd,,,,
409,Bournemouth,Burnley,10/12/2016,75-90,,Away,C. Daniels,,,,
410,Hull City,Crystal Palace,10/12/2016,15-30,,Home,R. Snodgrass,Y,,,
411,Crystal Palace,Hull City,10/12/2016,45-60,,Away,C. Benteke,Y,,,
412,Crystal Palace,Hull City,10/12/2016,60-75,,Away,W. Zaha,,,,
413,Hull City,Crystal Palace,10/12/2016,60-75,,Home,A. Diomande,,,,
414,Hull City,Crystal Palace,10/12/2016,75-90,,Home,J. Livermore,,,,
415,Crystal Palace,Hull City,10/12/2016,75-90,,Away,F. Campbell,,,,
416,Swansea City,Sunderland,10/12/2016,45-60,,Home,G. Sigurdsson,Y,,,
417,Swansea City,Sunderland,10/12/2016,45-60,,Home,F. Llorente,,,,
418,Swansea City,Sunderland,10/12/2016,75-90,,Home,F. Llorente,,,,
419,Leicester City,Man City,10/12/2016,0-15,,Home,J. Vardy,,,,
420,Leicester City,Man City,10/12/2016,0-15,,Home,A. King,,,,
421,Leicester City,Man City,10/12/2016,15-30,,Home,J. Vardy,,,,
422,Leicester City,Man City,10/12/2016,75-90,,Home,J. Vardy,,,,
423,Man City,Leicester City,10/12/2016,75-90,,Away,A. Kolarov,,,,
424,Man City,Leicester City,10/12/2016,75-90,,Away,Nolito,,,,
425,Chelsea,WBA,11/12/2016,75-90,,Home,D. Costa,,,,
426,Man United,Spurs,11/12/2016,15-30,,Home,H. Mkhitaryan,,,,
427,Southampton,Middlesbrough,11/12/2016,45-60,,Home,Boufal,,,,
428,Liverpool,West Ham,11/12/2016,0-15,,Home,A. Lallana,,,,
429,West Ham,Liverpool,11/12/2016,15-30,,Away,D. Payet,,,,
430,West Ham,Liverpool,11/12/2016,30-45,,Away,M. Antonio,,,,
431,Liverpool,West Ham,11/12/2016,45-60,,Home,D. Origi,,,,
432,Bournemouth,Leicester City,13/12/2016,30-45,,Home,M. Pugh,,,,
433,Arsenal,Everton,13/12/2016,15-30,,Away,A. Sanchez,,,,
434,Everton,Arsenal,13/12/2016,30-45,,Home,S. Coleman,,,,
435,Everton,Arsenal,13/12/2016,75-90,,Home,A. Williams,,,,
436,Liverpool,Middlesbrough,14/12/2016,15-30,,Away,A. Lallana,,,,
437,Liverpool,Middlesbrough,14/12/2016,45-60,,Away,D. Origi,,,,
438,Liverpool,Middlesbrough,14/12/2016,60-75,,Away,A. Lallana,,,,
439,Chelsea,Sunderland,14/12/2016,30-45,,Away,C. Fabregas,,,,
440,West Ham,Burnley,14/12/2016,30-45,,Home,M. Noble,,,,
441,Man United,Crystal Palace,14/12/2016,30-45,,Away,P. Pogba,,,,
442,Crystal Palace,Man United,14/12/2016,60-75,,Home,J. McArthur,,,,
443,Man United,Crystal Palace,14/12/2016,75-90,,Away,Z. Ibrahimovic,,,,
444,Man City,Watford,14/12/2016,30-45,,Home,P. Zabaleta,,,,
445,Man City,Watford,14/12/2016,75-90,,Home,D. Silva,,,,
446,Spurs,Hull City,14/12/2016,0-15,,Home,C. Eriksen,,,,
447,Spurs,Hull City,14/12/2016,60-75,,Home,C. Eriksen,,,,
448,Spurs,Hull City,14/12/2016,60-75,,Home,V. Wanyama,,,,
449,WBA,Swansea City,14/12/2016,45-60,,Home,S. Rondon,,,,
450,WBA,Swansea City,14/12/2016,60-75,,Home,S. Rondon,,,,
451,WBA,Swansea City,14/12/2016,60-75,,Home,S. Rondon,,,,
452,Swansea City,WBA,14/12/2016,75-90,,Away,W. Routledge,,,,
453,Chelsea,Crystal Palace,17/12/2016,30-45,,Away,D. Costa,,,,
454,Middlesbrough,Swansea City,17/12/2016,15-30,,Home,A. Negredo,,,,
455,Middlesbrough,Swansea City,17/12/2016,15-30,,Home,A. Negredo,,,,
456,Middlesbrough,Swansea City,17/12/2016,45-60,,Home,M. De Roon,,,,
457,Stoke City,Leicester City,17/12/2016,30-45,,Home,B. Krkic,,,,
458,Stoke City,Leicester City,17/12/2016,30-45,,Home,J. Allen,,,,
459,Leicester City,Stoke City,17/12/2016,60-75,,Away,L. Ulloa,,,,
460,Leicester City,Stoke City,17/12/2016,75-90,,Away,D. Amartey,,,,
461,Sunderland,Watford,17/12/2016,45-60,,Home,P. Van Aanholt,,,,
462,West Ham,Hull City,17/12/2016,75-90,,Home,M. Noble,Y,,,
463,Man United,WBA,17/12/2016,0-15,,Away,Z. Ibrahimovic,,,,
464,Man United,WBA,17/12/2016,45-60,,Away,Z. Ibrahimovic,,,,
465,Bournemouth,Southampton,18/12/2016,0-15,,Home,Ake,,,,
466,Southampton,Bournemouth,18/12/2016,0-15,,Away,R. Bertrand,,,,
467,Southampton,Bournemouth,18/12/2016,45-60,,Away,J. Rodriguez,,,,
468,Southampton,Bournemouth,18/12/2016,75-90,,Away,J. Rodriguez,,,,
469,Arsenal,Man City,18/12/2016,0-15,,Away,T. Walcott,,,,
470,Man City,Arsenal,18/12/2016,45-60,,Home,L. Sane,,,,
471,Man City,Arsenal,18/12/2016,60-75,,Home,R. Sterling,,,,
472,Burnley,Spurs,18/12/2016,15-30,,Away,Barnes,,,,
473,Spurs,Burnley,18/12/2016,15-30,,Home,D. Alli,,,,
474,Spurs,Burnley,18/12/2016,60-75,,Home,D. Rose,,,,
475,Liverpool,Everton,19/12/2016,75-90,,Away,S. Mane,,,,
476,Crystal Palace,Watford,26/12/2016,15-30,,Away,Y. Cabaye,,,,
477,Watford,Crystal Palace,26/12/2016,60-75,,Home,T. Deeney,Y,,,
478,Arsenal,WBA,26/12/2016,75-90,,Home,O. Giroud,,,,
479,Burnley,Middlesbrough,26/12/2016,75-90,,Home,A. Gray,,,,
480,Chelsea,Bournemouth,26/12/2016,15-30,,Home,Pedro,,,,
481,Chelsea,Bournemouth,26/12/2016,45-60,,Home,E. Hazard,Y,,,
482,Chelsea,Bournemouth,26/12/2016,75-90,,Home,OG (S. Cook),,,,
483,Everton,Leicester City,26/12/2016,45-60,,Away,K. Mirallas,,,,
484,Everton,Leicester City,26/12/2016,75-90,,Away,R. Lukaku,,,,
485,Man United,Sunderland,26/12/2016,30-45,,Home,D. Blind,,,,
486,Man United,Sunderland,26/12/2016,75-90,,Home,Z. Ibrahimovic,,,,
487,Man United,Sunderland,26/12/2016,75-90,,Home,H. Mkhitaryan,,,,
488,Sunderland,Man United,26/12/2016,75-90,,Away,F. Borini,,,,
489,West Ham,Swansea City,26/12/2016,0-15,,Away,A. Ayew,,,,
490,West Ham,Swansea City,26/12/2016,45-60,,Away,W. Reid,,,,
491,West Ham,Swansea City,26/12/2016,75-90,,Away,M. Antonio,,,,
492,Swansea City,West Ham,26/12/2016,75-90,,Home,F. Llorente,,,,
493,West Ham,Swansea City,26/12/2016,75-90,,Away,A. Carroll,,,,
494,Man City,Hull City,26/12/2016,60-75,,Away,Y. Toure,Y,,,
495,Man City,Hull City,26/12/2016,75-90,,Away,K. Iheanacho,,,,
496,Man City,Hull City,26/12/2016,75-90,,Away,OG (Curtis Davies),,,,
497,Stoke City,Liverpool,27/12/2016,0-15,,Away,J. Walters,,,,
498,Liverpool,Stoke City,27/12/2016,30-45,,Home,A. Lallana,,,,
499,Liverpool,Stoke City,27/12/2016,30-45,,Home,R. Firmino,,,,
500,Liverpool,Stoke City,27/12/2016,45-60,,Home,OG (Imbula),,,,
501,Liverpool,Stoke City,27/12/2016,60-75,,Home,D. Sturridge,,,,
502,Southampton,Spurs,28/12/2016,0-15,,Home,V. Van Dijk,,,,
503,Spurs,Southampton,28/12/2016,15-30,,Away,D. Alli,,,,
504,Spurs,Southampton,28/12/2016,45-60,,Away,H. Kane,,,,
505,Spurs,Southampton,28/12/2016,75-90,,Away,H. Son,,,,
506,Spurs,Southampton,28/12/2016,75-90,,Away,D. Alli,,,,
507,Hull City,Everton,30/12/2016,0-15,,Home,M. Dawson,,,,
508,Everton,Hull City,30/12/2016,30-45,,Away,OG (D. Marshall),,,,
509,Hull City,Everton,30/12/2016,60-75,,Home,R. Snodgrass,,,,
510,Everton,Hull City,30/12/2016,75-90,,Away,R. Barkley,,,,
511,Burnley,Sunderland,31/12/2016,30-45,,Home,A. Gray,,,,
512,Burnley,Sunderland,31/12/2016,45-60,,Home,A. Gray,,,,
513,Burnley,Sunderland,31/12/2016,45-60,,Home,A. Gray,,,,
514,Burnley,Sunderland,31/12/2016,60-75,,Home,Barnes,Y,,,
515,Sunderland,Burnley,31/12/2016,60-75,,Away,J. Defoe,,,,
516,Chelsea,Stoke City,31/12/2016,30-45,,Home,G. Cahill,,,,
517,Stoke City,Chelsea,31/12/2016,45-60,,Away,M. Indi,,,,
518,Chelsea,Stoke City,31/12/2016,45-60,,Home,Willian,,,,
519,Stoke City,Chelsea,31/12/2016,60-75,,Away,P. Crouch,,,,
520,Chelsea,Stoke City,31/12/2016,60-75,,Home,Willian,,,,
521,Chelsea,Stoke City,31/12/2016,75-90,,Home,D. Costa,,,,
522,Leicester City,West Ham,31/12/2016,15-30,,Home,I. Slimani,,,,
523,Middlesbrough,Man United,31/12/2016,60-75,,Away,G. Leadbitter,,,,
524,Man United,Middlesbrough,31/12/2016,75-90,,Home,A. Martial,,,,
525,Man United,Middlesbrough,31/12/2016,75-90,,Home,P. Pogba,,,,
526,Southampton,WBA,31/12/2016,30-45,,Home,S. Long,,,,
527,WBA,Southampton,31/12/2016,30-45,,Away,M. Phillips,,,,
528,WBA,Southampton,31/12/2016,45-60,,Away,H. Robson-Kanu,,,,
529,Bournemouth,Swansea City,31/12/2016,15-30,,Away,B. Afobe,,,,
530,Bournemouth,Swansea City,31/12/2016,30-45,,Away,R. Fraser ,,,,
531,Bournemouth,Swansea City,31/12/2016,75-90,,Away,J. King,,,,
532,Liverpool,Man City,31/12/2016,0-15,,Home,G. Wijnaldum,,,,
533,Spurs,Watford,01/01/2017,15-30,,Away,H. Kane,,,,
534,Spurs,Watford,01/01/2017,30-45,,Away,H. Kane,,,,
535,Spurs,Watford,01/01/2017,30-45,,Away,D. Alli,,,,
536,Spurs,Watford,01/01/2017,45-60,,Away,D. Alli,,,,
537,Watford,Spurs,01/01/2017,75-90,,Home,Y. Kaboul,,,,
538,Arsenal,Crystal Palace,01/01/2017,15-30,,Home,O. Giroud,,,,
539,Arsenal,Crystal Palace,01/01/2017,45-60,,Home,A. Iwobi,,,,
540,Everton,Southampton,02/01/2017,60-75,,Home,E. Valencia,,,,
541,Everton,Southampton,02/01/2017,75-90,,Home,L. Baines,Y,,,
542,Everton,Southampton,02/01/2017,75-90,,Home,R. Lukaku,,,,
543,Man City,Burnley,02/01/2017,45-60,,Home,G. Clichy,,,,
544,Man City,Burnley,02/01/2017,60-75,,Home,S. Aguero,,,,
545,Burnley,Man City,02/01/2017,60-75,,Away,B. Mee,,,,
546,Liverpool,Sunderland,02/01/2017,15-30,,Away,D. Sturridge,,,,
547,Sunderland,Liverpool,02/01/2017,15-30,,Home,J. Defoe,Y,,,
548,Liverpool,Sunderland,02/01/2017,60-75,,Away,S. Mane,,,,
549,Sunderland,Liverpool,02/01/2017,75-90,,Home,J. Defoe,Y,,,
550,Hull City,WBA,02/01/2017,15-30,,Away,R. Snodgrass,,,,
551,WBA,Hull City,02/01/2017,45-60,,Home,C. Brunt,,,,
552,WBA,Hull City,02/01/2017,60-75,,Home,G. McAuley,,,,
553,WBA,Hull City,02/01/2017,60-75,,Home,J. Morrison,,,,
554,Man United,West Ham,02/01/2017,60-75,,Away,J. Mata,,,,
555,Man United,West Ham,02/01/2017,75-90,,Away,Z. Ibrahimovic,,,,
556,Bournemouth,Arsenal,03/01/2017,15-30,,Home,C. Daniels,,,,
557,Bournemouth,Arsenal,03/01/2017,15-30,,Home,C. Wilson,Y,,,
558,Bournemouth,Arsenal,03/01/2017,45-60,,Home,R. Fraser,,,,
559,Arsenal,Bournemouth,03/01/2017,60-75,,Away,A. Sanchez,,,,
560,Arsenal,Bournemouth,03/01/2017,60-75,,Away,L. Perez,,,,
561,Arsenal,Bournemouth,03/01/2017,75-90,,Away,O. Giroud,,,,
562,Swansea City,Crystal Palace,03/01/2017,30-45,,Away,Mawson,,,,
563,Crystal Palace,Swansea City,03/01/2017,75-90,,Home,A. Rangel,,,,
564,Swansea City,Crystal Palace,03/01/2017,75-90,,Away,W. Zaha,,,,
565,Stoke City,Watford,03/01/2017,30-45,,Home,R. Shawcross,,,,
566,Stoke City,Watford,03/01/2017,45-60,,Home,P. Crouch,,,,
567,Spurs,Chelsea,04/01/2017,30-45,,Home,D. Alli,,,,
568,Spurs,Chelsea,04/01/2017,45-60,,Home,D. Alli,,,,
